MCS,class,num,smarts
O=C(OC)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1,965,3,[#8]=[#6](-[#6]-1=[#6](-[#6])-[#7]-[#6](-[#6])=[#6](-[#6]-1-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](-[#8]-[#6])=[#8])-[#8]-[#6]
OC(CCN1CCCC1)(C1CCCCC1)c1ccccc1,182,3,[#8]-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)(-[#6](-[#6]-[#6])-[#6]-[#6]-[#6])-[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]
CC1CCC2C(C)COC3C24C1CCC(C)(O3)OO4,1,3,[#6]-[#6]-1-[#6]-[#6]-[#6]-2-[#6](-[#6])-[#6]-[#8]-[#6]-3-[#6]-2-2-[#6]-1-[#6]-[#6]-[#6](-[#6])(-[#8]-[#8]-2)-[#8]-3
CC(C)c1nc(-c2c(F)c(NS(=O)(=O)c3c(F)cccc3F)ccc2)c(-c2nc(N)ncc2)s1,1013,3,[#6]-[#6](-[#6]:1:[#7]:[#6](-[#6]:2:[#6](-[F]):[#6](-[#7]-[#16](-[#6]:3:[#6](-[F]):[#6]:[#6]:[#6]:[#6]:3-[F])(=[#8])=[#8]):[#6]:[#6]:[#6]:2):[#6](-[#6]:2:[#7]:[#6](-[#7]):[#7]:[#6]:[#6]:2):[#16]:1)-[#6]
CC12CCC3C(CCc4cc(O)ccc43)C1CCC2(O)C#C,108,3,[#6]-[#6]-1-2-[#6]-[#6]-[#6]-3-[#6](-[#6]-1-[#6]-[#6]-[#6]-2(-[#6]#[#6])-[#8])-[#6]-[#6]-[#6]:1:[#6]-3:[#6]:[#6]:[#6](:[#6]:1)-[#8]
CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN)C(=O)N1CCCC1C(=O)N,1142,3,[#6]-[#6](-[#6]-[#6](-[#6](-[#7]-[#6](-[#6](-[#7]-1-[#6]-[#6]-[#6]-[#6]-1-[#6](-[#7])=[#8])=[#8])-[#6]-[#6]-[#6]-[#7])=[#8])-[#7]-[#6](-[#6]-[#7]-[#6](-[#6](-[#7]-[#6](-[#6](-[#7]-[#6](-[#6](-[#7]-[#6](-[#6](-[#7]-[#6](-[#6]-1-[#6]-[#6]-[#6](-[#7]-1)=[#8])=[#8])-[#6]-[#6]:1:[#6]:[#7]:[#6]:[#7]:1)=[#8])-[#6]-[#6]:1:[#6]:[#7]:[#6]:2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2)=[#8])-[#6]-[#8])=[#8])-[#6]-[#6]:1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8])=[#8])=[#8])-[#6]
CC(C)C1CCC2C(=CC=C3CC(O)CCC3=C)CCCC12C,75,3,[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-2-[#6](=[#6]-[#6]=[#6]-3-[#6]-[#6](-[#6]-[#6]-[#6]-3=[#6])-[#8])-[#6]-[#6]-[#6]-[#6]-1-2-[#6])-[#6]
C12CCC(C)(O)C1(C)CCC1C2CCC(Cc)C1(C)C,85,3,[#6]-[#6]-1(-[#6]-[#6]-[#6]-2-[#6]-3-[#6]-[#6]-[#6](-[#6](-[#6]-3-[#6]-[#6]-[#6]-1-2-[#6])(-[#6])-[#6])-[#6]-[#6])-[#8]
C12CCC(OC(C)=O)(C(C)=O)C1(C)CCC1C2CCC2=CC(=O)CCC12C,89,3,[#6]-1-2-[#6]-[#6]-[#6](-[#6]-1(-[#6]-[#6]-[#6](-[#6]-1(-[#6])-[#6]-[#6]-[#6](=[#8])-[#6]=[#6]-1-[#6])-[#6]-2-[#6])-[#6])(-[#6](=[#8])-[#6])-[#8]-[#6](=[#8])-[#6]
C12CCCC1(C)CCC1C2CCC2=CC(=O)CCC12C,92,3,[#6]-1-2-[#6]-[#6]-[#6]-[#6]-1(-[#6]-[#6]-[#6]-1-[#6]-2-[#6]-[#6]-[#6]-2=[#6]-[#6](-[#6]-[#6]-[#6]-1-2-[#6])=[#8])-[#6]
O=C1C=C2C(C3CCC4(C)C(CCC4(C#C)O)C3CC2)CC1,101,3,[#8]=[#6]-1-[#6]=[#6]-2-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6](-[#6](-[#8])(-[#6]#[#6])-[#6])(-[#6])-[#6](-[#6]-1-[#6]-[#6]-2)-[#6]
N(C(C)=O)c1c(I)cc(I)c(C(O)=O)c1I,1085,3,[#6]-[#6](-[#7]-[#6]:1:[#6](:[#6](:[#6](:[#6]:[#6]:1-[I])-[I])-[#6](=[#8])-[#8])-[I])=[#8]
COc1ccccc1Oc1c(OCCO)nc(-c)nc1NS(=O)(=O)cccc(c)C,1014,3,[#6]-[#8]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8]-[#6]:1:[#6](:[#7]:[#6](-[#6]):[#7]:[#6]:1-[#7]-[#16](-[#6]:[#6]:[#6]:[#6](-[#6]):[#6])(=[#8])=[#8])-[#8]-[#6]-[#6]-[#8]
CC(=O)N(CCO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1084,3,[#6](-[#7](-[#6](-[#6])=[#8])-[#6]:1:[#6](-[I]):[#6](-[#6](-[#7]-[#6]-[#6](-[#8])-[#6]-[#8])=[#8]):[#6](-[I]):[#6](-[#6](-[#7]-[#6]-[#6](-[#8])-[#6]-[#8])=[#8]):[#6]:1-[I])-[#6]-[#8]
C12CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C1(C(=O)CO)OC(C)(C)O2,116,3,[#8]=[#6]-1-[#6]=[#6]-2-[#6](-[#6]-3-[#6](-[#6]-[#6]-2)-[#6]-2-[#6](-[#6])(-[#6]-4(-[#6](-[#6]-[#8])=[#8])-[#8]-[#6](-[#6])(-[#6])-[#8]-[#6]-4-[#6]-2)-[#6]-[#6]-3-[#8])(-[#6])-[#6]=[#6]-1
Nc1ccc(S(=O)(=O)Ncnccc)cc1,1077,3,[#7]-[#6]:1:[#6]:[#6]:[#6](-[#16](-[#7]-[#6]:[#7]:[#6]:[#6]:[#6])(=[#8])=[#8]):[#6]:[#6]:1
CCN(CC)CCNC(=O)c1ccc(N)cc1,253,3,[#8]=[#6](-[#7]-[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6])-[#6]:1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7]
